h,Sch,Sch,Sch,Sch,Sch,Sch,KinderG,KinderG,KinderG,KinderG,KinderG,KinderG,DepStore,DepStore,DepStore,DepStore,DepStore,DepStore,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeLan,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,OfficeSingle,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApartRetired,ReApart,ReApart,ReApart,ReApart,ReApart,ReApart,ReDetached,ReDetached,ReDetached,ReDetached,ReDetached,ReDetached
,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends,Weekdays,Weekdays,Weekdays,Weekends,Weekends,Weekends
,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting,Occupants,Appliances,Lighting
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0.3,0.1,0.13,0.3,1,0.5,0.15,1,0.5,0.15,0.5,0.5,0.15,0.8,0.5,0.15,0.5,0.5,0.15,0.8,0.5,0.15
8,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.4,0.15,0.3,0.4,0.15,0.3,1,0.7,0.15,1,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15
9,0.6,0.6,0.6,0,0,0,0.8,0.8,0.8,0,0,0,0.1,1,1,0.1,1,1,0.5,0.5,0.5,0,0,0,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0.4,0.18,0.55,0.4,0.18,0.55,1,0.7,0.15,1,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15,0.5,0.7,0.15,0.8,0.7,0.15
10,0.7,0.7,0.7,0,0,0,0.8,0.8,0.8,0,0,0,0.3,1,1,0.3,1,1,0.8,0.8,0.8,0,0,0,0.6,0.6,0.6,0,0,0,1,1,1,0,0,0,0.4,0.21,0.55,0.4,0.21,0.55,1,0.5,0.15,1,0.5,0.15,0.1,0.5,0.15,0.8,0.5,0.15,0.1,0.5,0.15,0.8,0.5,0.15
11,0.6,0.6,0.6,0,0,0,0.3,0.3,0.3,0,0,0,0.3,1,1,0.6,1,1,0.9,0.9,0.9,0,0,0,0.7,0.7,0.7,0,0,0,1,1,1,0,0,0,0.2,0.26,0.75,0.2,0.26,0.75,1,0.5,0.05,1,0.5,0.05,0.1,0.5,0.05,0.8,0.5,0.05,0.1,0.5,0.05,0.8,0.5,0.05
12,0.4,0.4,0.4,0,0,0,0.3,0.3,0.3,0,0,0,0.7,1,1,0.9,1,1,0.8,0.8,0.8,0,0,0,0.7,0.7,0.7,0,0,0,1,1,1,0,0,0,0.5,0.29,0.75,0.5,0.29,0.75,1,0.6,0.05,1,0.6,0.05,0.1,0.6,0.05,0.8,0.6,0.05,0.1,0.6,0.05,0.8,0.6,0.05
13,0.3,0.3,0.3,0,0,0,0.8,0.8,0.8,0,0,0,0.6,1,1,1,1,1,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0.8,0.27,0.75,0.8,0.27,0.75,1,0.6,0.05,1,0.6,0.05,0.1,0.6,0.05,0.8,0.6,0.05,0.1,0.6,0.05,0.8,0.6,0.05
14,0.7,0.7,0.7,0,0,0,0.1,0.1,0.1,0,0,0,0.5,1,1,0.9,1,1,0.7,0.7,0.7,0,0,0,0.6,0.6,0.6,0,0,0,1,1,1,0,0,0,0.7,0.25,0.75,0.7,0.25,0.75,1,0.6,0.05,1,0.6,0.05,0.2,0.6,0.05,0.8,0.6,0.05,0.2,0.6,0.05,0.8,0.6,0.05
15,0.6,0.6,0.6,0,0,0,0.1,0.1,0.1,0,0,0,0.6,1,1,0.7,1,1,0.8,0.8,0.8,0,0,0,0.7,0.7,0.7,0,0,0,1,1,1,0,0,0,0.4,0.23,0.75,0.4,0.23,0.75,1,0.6,0.05,1,0.6,0.05,0.2,0.6,0.05,0.8,0.6,0.05,0.2,0.6,0.05,0.8,0.6,0.05
16,0.4,0.4,0.4,0,0,0,0.4,0.4,0.4,0,0,0,0.6,1,1,0.5,1,1,0.8,0.8,0.8,0,0,0,0.7,0.7,0.7,0,0,0,1,1,1,0,0,0,0.2,0.23,0.75,0.2,0.23,0.75,1,0.5,0.05,1,0.5,0.05,0.2,0.5,0.05,0.8,0.5,0.05,0.2,0.5,0.05,0.8,0.5,0.05
17,0.2,0.2,0.2,0,0,0,0.3,0.3,0.3,0,0,0,0.9,1,1,0.3,1,1,0.7,0.7,0.7,0,0,0,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0.25,0.26,0.7,0.25,0.26,0.7,1,0.5,0.2,1,0.5,0.2,0.5,0.5,0.2,0.8,0.5,0.2,0.5,0.5,0.2,0.8,0.5,0.2
18,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.9,1,1,0.45,1,1,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.5,0.26,0.75,0.5,0.26,0.75,1,0.7,0.2,1,0.7,0.2,0.5,0.7,0.2,0.8,0.7,0.2,0.5,0.7,0.2,0.8,0.7,0.2
19,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,1,1,1,0.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.24,0.75,0.8,0.24,0.75,1,0.7,0.2,1,0.7,0.2,0.5,0.7,0.2,0.8,0.7,0.2,0.5,0.7,0.2,0.8,0.7,0.2
20,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1,0.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.22,0.75,0.8,0.22,0.75,1,0.8,0.2,1,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2
21,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.75,0.8,0.2,0.75,1,0.8,0.2,1,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.18,0.75,0.5,0.18,0.75,1,0.8,0.2,1,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.09,0.5,0.35,0.09,0.5,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.3,0.2,0.03,0.3,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15,1,0.6,0.15
